roman_letter, top_row, middle_row, bottom_row, braille_string,alt_string,
a,"0.","..","..","0.....","0.....",
b,"0.","0.","..","0.0...","00....",
c,"00","..","..","00....","0..0..",
d,"00",".0","..","00.0..","0..00.",
e,"0.",".0","..","0..0..","0...0.",
f,"00","0.","..","000...","00.0..",
g,"00","00","..","0000..","00.00.",
h,"0.","00","..","0.00..","00..0.",
i,".0","0.","..",".00...",".0.0..",
j,".0","00","..",".000..",".0.00.",
k,"0.","..","0.","0...0.","0.0...",
l,"0.","0.","0.","0.0.0.","000...",
m,"00","..","0.","00..0.","0.00..",
n,"00",".0","0.","00.00.","0.000.",
o,"0.",".0","0.","0..00.","0.0.0.",
p,"00","0.","0.","000.0.","0000..",
q,"00","00","0.","00000.","00000.",
r,"0.","00","0.","0.000.","000.0.",
s,".0","0.","0.",".00.0.",".000..",
t,".0","00","0.",".0000.",".0000.",
u,"0.","..","00","0...00","0.0..0",
v,"0.","0.","00","0.0.00","000..0",
w,".0","00",".0",".000.0",".0.000",
x,"00","..","00","00..00","0.00.0",
y,"00",".0","00","00.000","0.0000",
z,"0.",".0","00","0..000","0.0.00",
" ","..","..","..","......","......"
